               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12643,            0.037673,            0.039645,          0.00038108,            0.016677,          0.00019833,           4.827e-05,             0.12006,            0.046156,            0.039725,              0.0775,              0.0025,              0.0025
                   1,             0.10585,            0.046027,             0.03753,           0.0086852,              0.4901,            0.023554,           0.0052169,            0.098636,            0.048019,             0.03777,            0.054075,           0.0050748,           0.0050748
                   2,             0.09663,            0.040821,            0.037762,            0.038064,             0.35626,            0.032684,           0.0065604,            0.092521,            0.043764,            0.038292,            0.030624,           0.0076238,           0.0076238
                   3,            0.093772,            0.035726,            0.037061,            0.024453,             0.52012,            0.025477,           0.0072154,            0.093889,            0.039312,            0.036703,           0.0098515,           0.0098515,           0.0098515
                   4,            0.086061,            0.038956,             0.03668,            0.076658,             0.31144,            0.057956,            0.013434,            0.084443,            0.042799,            0.036443,           0.0098515,           0.0098515,           0.0098515
                   5,            0.077919,            0.040633,            0.036453,            0.093781,              0.3079,            0.092056,             0.04218,            0.074705,            0.044245,            0.036461,            0.009802,            0.009802,            0.009802
                   6,            0.068685,            0.041836,            0.035318,             0.15575,             0.37336,              0.1468,            0.058517,            0.068813,            0.043406,            0.036278,           0.0097525,           0.0097525,           0.0097525
                   7,            0.064888,            0.041744,            0.035615,             0.14497,             0.46989,             0.15976,             0.05961,            0.059533,            0.043386,            0.036136,            0.009703,            0.009703,            0.009703
                   8,             0.06235,            0.039236,            0.035531,            0.099426,             0.40338,             0.10729,            0.040647,            0.067229,            0.043771,            0.036095,           0.0096535,           0.0096535,           0.0096535
                   9,            0.059164,            0.040351,            0.035115,            0.065983,             0.50261,            0.074235,            0.020565,            0.059738,            0.046793,            0.036113,            0.009604,            0.009604,            0.009604
                  10,            0.055404,            0.039274,            0.036026,             0.10717,             0.64207,             0.14838,            0.057576,            0.062366,            0.040123,            0.036003,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055258,            0.038362,            0.035518,             0.14128,              0.5616,             0.17696,            0.093269,            0.048973,            0.042666,            0.036008,            0.009505,            0.009505,            0.009505
                  12,            0.053385,            0.038781,            0.035613,             0.09697,             0.66854,             0.12094,            0.054099,            0.047836,            0.041953,            0.035866,           0.0094555,           0.0094555,           0.0094555
                  13,            0.046311,            0.040727,            0.035466,             0.14931,             0.55347,             0.19432,            0.084202,            0.054482,            0.042547,            0.035797,            0.009406,            0.009406,            0.009406
                  14,            0.049668,            0.035482,            0.035431,             0.15341,             0.71816,             0.22623,             0.13094,            0.040933,            0.042314,            0.035774,           0.0093565,           0.0093565,           0.0093565
                  15,            0.046805,            0.036415,            0.035844,             0.16656,             0.85804,             0.26512,             0.14229,            0.042165,            0.041321,             0.03577,            0.009307,            0.009307,            0.009307
                  16,            0.045012,            0.039227,            0.035394,              0.1258,             0.56515,             0.18219,             0.10189,            0.042612,            0.039896,            0.035783,           0.0092575,           0.0092575,           0.0092575
